Unnamed: 0,Nombre,Precio,Categoría
144,Cepillo corporal de doble cara en silicón,169.15,Beauty
145,Neceser de lona,339.15,Beauty
146,Neceser,279.65,Beauty
147,Neceser,279.65,Beauty
148,"Rubor en barra para mejillas, labios y ojos",211.65,Beauty
149,3-pack de neceseres,381.65,Beauty
150,Barra humectante,211.65,Beauty
151,Corrector,152.15,Beauty
152,Base de maquillaje,254.15,Beauty
153,Neceser,211.65,Beauty
154,Set de belleza,126.65,Beauty
155,Brillo labial,41.65,Beauty
156,Gorra para cabello en seda,509.15,Beauty
157,Neceser doble,381.65,Beauty
158,Brocha delineadora angular,169.15,Beauty
159,Brocha para polvos All-over,254.15,Beauty
160,3-pack de neceseres,381.65,Beauty
161,3-pack de neceseres,381.65,Beauty
162,3-pack de neceseres,381.65,Beauty
163,3-pack de neceseres,381.65,Beauty
164,Bálsamo labial con sabor,41.65,Beauty
165,Neceser guateado,211.65,Beauty
166,Neceser guateado,254.15,Beauty
167,Lápiz superfino de cejas,152.15,Beauty
168,Lápiz de cejas angular,169.15,Beauty
169,3-pack de perfiladores,126.65,Beauty
170,Pinzas de depilación,109.65,Beauty
171,Labial mate,152.15,Beauty
172,Cepillo de madera,169.15,Beauty
173,Cepillo de madera,254.15,Beauty
174,2-pack Neceseres transparentes,279.65,Beauty
175,Peine,84.15,Beauty
176,Lápiz para cejas,126.65,Beauty
177,Lápiz de cejas angular,169.15,Beauty
178,Brocha cónica para mejillas,211.65,Beauty
179,Brocha de precisión para iluminador,169.15,Beauty
